"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
1155.00,649.00,1130.00,10713,"BOI","Boise, ID","ID","Idaho",11292,"DEN","Denver, CO","CO","Colorado","614",3,2,
1155.00,416.00,1086.00,13930,"ORD","Chicago, IL","IL","Illinois",13871,"OMA","Omaha, NE","NE","Nebraska","612",3,1,
1155.00,1491.00,2541.00,11292,"DEN","Denver, CO","CO","Colorado",10821,"BWI","Baltimore, MD","MD","Maryland","698",3,3,
1155.00,1491.00,3815.00,10821,"BWI","Baltimore, MD","MD","Maryland",11292,"DEN","Denver, CO","CO","Colorado","698",3,3,
1156.00,855.00,990.00,10466,"AZA","Phoenix, AZ","AZ","Arizona",12278,"ICT","Wichita, KS","KS","Kansas","694",3,2,
1156.00,592.00,1494.00,11109,"COS","Colorado Springs, CO","CO","Colorado",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","698",3,2,
1156.00,812.00,5836.00,13485,"MSN","Madison, WI","WI","Wisconsin",12953,"LGA","New York, NY","NY","New York","638",3,2,
1156.00,207.00,537.00,11433,"DTW","Detroit, MI","MI","Michigan",15380,"TVC","Traverse City, MI","MI","Michigan","608",3,1,
1156.00,296.00,2296.00,11292,"DEN","Denver, CO","CO","Colorado",14534,"RIW","Riverton/Lander, WY","WY","Wyoming","629",3,1,
1156.00,456.00,3462.00,11292,"DEN","Denver, CO","CO","Colorado",12896,"LBB","Lubbock, TX","TX","Texas","629",3,1,
1156.00,1199.00,5698.00,10397,"ATL","Atlanta, GA","GA","Georgia",11292,"DEN","Denver, CO","CO","Colorado","631",3,3,
1156.00,528.00,1020.00,13930,"ORD","Chicago, IL","IL","Illinois",14576,"ROC","Rochester, NY","NY","New York","614",3,2,
